"longitude","latitude","genus","species","country"
-61.54053,-27.08686,"Rhodnius","Psammolestes coreodes","AR"
-60.162778,-26.458611,"Rhodnius","Psammolestes coreodes","AR"
-61.61247,-26.85497,"Rhodnius","Psammolestes coreodes","AR"
-61.62611,-26.91408,"Rhodnius","Psammolestes coreodes","AR"
-61.61961,-26.90696,"Rhodnius","Psammolestes coreodes","AR"
-61.599722,-26.938333,"Rhodnius","Psammolestes coreodes","AR"
-61.53347,-27.08333,"Rhodnius","Psammolestes coreodes","AR"
-61.56275,-26.91139,"Rhodnius","Psammolestes coreodes","AR"
-61.62656,-26.91483,"Rhodnius","Psammolestes coreodes","AR"
-64.966667,-24.316667,"Rhodnius","Psammolestes coreodes","AR"
-61.0306,-24.4064,"Rhodnius","Psammolestes coreodes","AR"
-60.593454,-24.705308,"Rhodnius","Psammolestes coreodes","AR"
-61.85,-23.9,"Rhodnius","Psammolestes coreodes","AR"
-62.166726,-27.616705,"Rhodnius","Psammolestes coreodes","AR"
-62.166726,-27.616705,"Rhodnius","Psammolestes coreodes","AR"
-62.166726,-27.616705,"Rhodnius","Psammolestes coreodes","AR"
-63.30001,-26.41669,"Rhodnius","Psammolestes coreodes","AR"
-61.910015,-25.490014,"Rhodnius","Psammolestes coreodes","AR"
-61.97005,-25.500023,"Rhodnius","Psammolestes coreodes","AR"
-61.980005,-25.500032,"Rhodnius","Psammolestes coreodes","AR"
-61.940005,-25.470014,"Rhodnius","Psammolestes coreodes","AR"
-61.90999,-25.50001,"Rhodnius","Psammolestes coreodes","AR"
-61.969974,-25.509903,"Rhodnius","Psammolestes coreodes","AR"
-62.883305,-23.466686,"Rhodnius","Psammolestes coreodes","AR"
-64.41671,-23.54999,"Rhodnius","Psammolestes coreodes","AR"
-62.883305,-23.466686,"Rhodnius","Psammolestes coreodes","AR"
-64.96671,-25.80001,"Rhodnius","Psammolestes coreodes","AR"
-58.679594,-27.553211,"Rhodnius","Psammolestes coreodes","AR"
-58.644899,-27.314197,"Rhodnius","Psammolestes coreodes","AR"
-60.728258,-26.690561,"Rhodnius","Psammolestes coreodes","AR"
-61.1667,-26.7833,"Rhodnius","Psammolestes coreodes","AR"
-59.95,-27.866667,"Rhodnius","Psammolestes coreodes","AR"
-64.230515,-28.02316,"Rhodnius","Psammolestes coreodes","AR"
-64.230515,-28.02316,"Rhodnius","Psammolestes coreodes","AR"
-59.062281,-26.837281,"Rhodnius","Psammolestes coreodes","AR"
-63.320943,-32.409857,"Rhodnius","Psammolestes coreodes","AR"
-62.98331,-29.96671,"Rhodnius","Psammolestes coreodes","AR"
-58.98331,-27.44561,"Rhodnius","Psammolestes coreodes","AR"
-58.9833,-27.45,"Rhodnius","Psammolestes coreodes","AR"
-63.2833,-25.6167,"Rhodnius","Psammolestes coreodes","AR"
-60.938769,-31.682527,"Rhodnius","Psammolestes coreodes","AR"
-60.75001,-31.31671,"Rhodnius","Psammolestes coreodes","AR"
-60.938769,-31.682527,"Rhodnius","Psammolestes coreodes","AR"
-60.562163,-31.674194,"Rhodnius","Psammolestes coreodes","AR"
-58.983305,-27.449903,"Rhodnius","Psammolestes coreodes","AR"
-61.60658,-26.84817,"Rhodnius","Psammolestes coreodes","AR"
-61.55,-26.937778,"Rhodnius","Psammolestes coreodes","AR"
-61.56978,-26.81989,"Rhodnius","Psammolestes coreodes","AR"
-61.60739,-26.84214,"Rhodnius","Psammolestes coreodes","AR"
-61.61258,-26.85511,"Rhodnius","Psammolestes coreodes","AR"
-61.53097,-27.08692,"Rhodnius","Psammolestes coreodes","AR"
-61.53097,-27.08692,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-59.983326,-29.350005,"Rhodnius","Psammolestes coreodes","AR"
-63.297505,-29.938175,"Rhodnius","Psammolestes coreodes","AR"
-59.970306,-29.348626,"Rhodnius","Psammolestes coreodes","AR"
